year,month,cost,kwh
2023,June,1791,9522
2023,July,1717,10238
2023,August,1984,9977
2023,September,642,10285
2023,October,2695,8653
2023,November,1579,8102
2023,December,1635,9300
2023,Total,8705,47140
2024,January,2038,11234
2024,February,1513,8554
2024,March,1610,10131
2024,April,1429,8379
2024,May,1417,8620
2024,June,1361,7631
2024,Total,9369,54549
